# regime-adapt train day sampling v1 | frozen 2026-08-09 | seed=42
# train=2004-01-02..2020-07-31 | labels=monthly_regime_3style.csv
# D downsample keep=1718/2771 (f_D=0.619993); target D/F/T=55/30/15; decay halflife=48m (M3 only)
date,weight
2005-05-10,0.33834679
2005-05-11,0.33850735
2005-05-12,0.33866799
2005-05-13,0.3388287
2005-05-16,0.3393113
2005-05-17,0.33947232
2005-05-18,0.33963342
2005-05-19,0.33979459
2005-05-20,0.33995584
2005-05-23,0.34044004
2005-05-24,0.3406016
2005-05-25,0.34076323
2005-05-26,0.34092493
2005-05-27,0.34108672
2005-05-30,0.34157253
2005-05-31,0.34173462
2005-06-01,0.34189679
2005-06-02,0.34205904
2005-06-03,0.34222136
2005-06-06,0.34270879
2005-06-07,0.34287142
2005-06-08,0.34303413
2005-06-09,0.34319692
2005-06-10,0.34335978
2005-06-13,0.34384883
2005-06-14,0.344012
2005-06-15,0.34417525
2005-06-16,0.34433858
2005-06-17,0.34450199
2005-06-20,0.34499266
2005-06-21,0.34515638
2005-06-22,0.34532017
2005-06-23,0.34548404
2005-06-24,0.34564799
2005-06-27,0.3461403
2005-06-28,0.34630456
2005-06-29,0.3464689
2005-06-30,0.34663331
2005-07-01,0.34679781
2005-07-04,0.34729176
2005-07-05,0.34745656
2005-07-06,0.34762145
2005-07-07,0.34778641
2005-07-08,0.34795145
2005-07-11,0.34844704
2005-07-12,0.34861239
2005-07-13,0.34877783
2005-07-14,0.34894334
2005-07-15,0.34910893
2005-07-18,0.34960617
2005-07-19,0.34977207
2005-07-20,0.34993806
2005-07-21,0.35010412
2005-07-22,0.35027026
2005-07-25,0.35076915
2005-07-26,0.35093561
2005-07-27,0.35110214
2005-07-28,0.35126876
2005-07-29,0.35143545
2005-08-03,0.19583569
2005-08-04,0.19592862
2005-08-05,0.1960216
2005-08-08,0.19630079
2005-08-09,0.19639395
2005-08-10,0.19648714
2005-08-15,0.1969538
2005-08-16,0.19704726
2005-08-17,0.19714077
2005-08-18,0.19723432
2005-08-19,0.19732792
2005-08-22,0.19760897
2005-08-23,0.19770275
2005-08-26,0.19798434
2005-08-29,0.19826633
2005-09-05,0.19892588
2005-09-06,0.19902028
2005-09-07,0.19911472
