datetime,bench
2019-01-02,-0.0025238567
2019-01-03,-0.0058804774
2019-01-04,0.025286872
2019-01-07,0.02033643
2019-01-08,-0.0008498547
2019-01-09,0.003215618
2019-01-10,-0.0013873084
2019-01-11,0.00903091
2019-01-14,-0.0059746434
2019-01-15,0.01177844
2019-01-16,-0.0017038842
2019-01-17,-0.0100854235
2019-01-18,0.0064347405
2019-01-21,0.006390467
2019-01-22,-0.009246468
2019-01-23,0.0023153443
2019-01-24,0.0047227456
2019-01-25,-0.0077102776
2019-01-28,-0.0074095526
2019-01-29,-0.019609068
2019-01-30,-0.014553588
2019-01-31,-0.01802976
2019-02-01,0.027850784
2019-02-11,0.027290134
2019-02-12,0.014398005
2019-02-13,0.01802564
2019-02-14,0.005254249
2019-02-15,-0.001103457
2019-02-18,0.03393258
2019-02-19,0.0035897254
2019-02-20,0.0026300675
2019-02-21,-0.0030399319
2019-02-22,0.021762365
2019-02-25,0.050446127
2019-02-26,-0.00092200324
2019-02-27,-0.0013075874
2019-02-28,0.0050290064
2019-03-01,0.0065947366
2019-03-04,0.018017618
2019-03-05,0.02641097
2019-03-06,0.021882027
2019-03-07,0.017039126
2019-03-08,-0.045729358
2019-03-11,0.042533703
2019-03-12,0.01921361
2019-03-13,-0.018563567
2019-03-14,-0.027740482
2019-03-15,0.016265962
2019-03-18,0.0238804
2019-03-19,0.004348464
2019-03-20,0.0011697019
2019-03-21,0.011582525
2019-03-22,0.0056836666
2019-03-25,-0.008633852
2019-03-26,-0.025967155
2019-03-27,0.0075256475
2019-03-28,-0.013066161
2019-03-29,0.026995623
2019-04-01,0.03600619
2019-04-02,0.0061310153
2019-04-03,0.011832384
2019-04-04,0.0044703465
2019-04-08,-0.0027754973
2019-04-09,0.0044493633
2019-04-10,-0.00061801827
2019-04-11,-0.01720848
2019-04-12,-0.0001165265
2019-04-15,-0.0076824976
2019-04-16,0.01996293
2019-04-17,0.008776944
2019-04-18,-0.0057684733
2019-04-19,0.007431964
2019-04-22,-0.012111308
2019-04-23,-0.017834172
2019-04-24,0.009857471
2019-04-25,-0.039894845
2019-04-26,-0.012155103
2019-04-29,-0.035821475
2019-04-30,0.01120009
2019-05-06,-0.07434995
2019-05-07,0.015644738
2019-05-08,-0.0010997789
2019-05-09,-0.0077674123
2019-05-10,0.03535447
2019-05-13,-0.0051435228
2019-05-14,-0.007216436
2019-05-15,0.022012042
2019-05-16,0.007827034
2019-05-17,-0.035477623
2019-05-20,-0.0032399578
2019-05-21,0.017777104
2019-05-22,-0.005154276
2019-05-23,-0.022036452
2019-05-24,-0.0061791847
2019-05-27,0.027710984
2019-05-28,0.0019054317
2019-05-29,0.0049582627
2019-05-30,-0.005321254
2019-05-31,0.0014613458
2019-06-03,-0.013907637
2019-06-04,-0.015484566
2019-06-05,0.0017468805
2019-06-06,-0.024210623
2019-06-10,0.011669172
2019-06-11,0.036341716
2019-06-12,-0.0036227389
2019-06-13,0.0067889187
2019-06-14,-0.021903612
2019-06-17,0.0013857501
2019-06-18,-0.0003087671
2019-06-19,0.014556481
2019-06-20,0.015444406
2019-06-21,0.0188611
2019-06-24,-0.0006418354
2019-06-25,-0.009344494
2019-06-26,-2.8413824e-06
2019-06-27,0.0066794106
2019-06-28,-0.01301888
2019-07-01,0.02888286
2019-07-02,0.00033356145
2019-07-03,-0.009479117
2019-07-04,-0.0030172255
2019-07-05,0.0040154476
2019-07-08,-0.034051705
2019-07-09,0.0038224626
2019-07-10,-0.0062049804
2019-07-11,0.0007249935
2019-07-12,0.003246564
2019-07-15,0.00938275
2019-07-16,0.0032819363
2019-07-17,0.00044864623
2019-07-18,-0.01781516
2019-07-19,0.0054172184
2019-07-22,-0.028249925
2019-07-23,0.01232868
2019-07-24,0.013422204
2019-07-25,0.0035176883
2019-07-26,0.00067457935
2019-07-29,0.0006597402
2019-07-30,0.005168329
2019-07-31,-0.005666854
2019-08-01,-0.002534268
2019-08-02,-0.015155976
2019-08-05,-0.010185775
2019-08-06,-0.028143464
2019-08-07,-0.0028353347
2019-08-08,0.0057052174
2019-08-09,-0.011360297
2019-08-12,0.016565789
2019-08-13,-0.005184973
2019-08-14,0.006343523
2019-08-15,0.003231161
2019-08-16,0.0047558206
2019-08-19,0.03018355
2019-08-20,0.0025837673
2019-08-21,0.0005987092
2019-08-22,0.0039365683
2019-08-23,-0.0030351633
2019-08-26,-0.0069436957
2019-08-27,0.01837404
2019-08-28,0.00011486984
2019-08-29,-0.00069033395
2019-08-30,-0.014027188
2019-09-02,0.023875095
